Terra Task Name	Variable	Type	Description	Default Value	Terra Status	Workflow	Organism
dorado_basecalling	kit_name	String	Sequencing kit name used (e.g., SQK-RPB114-24); see above for all available options.		Required	Dorado_Basecalling	
dorado_basecalling	new_table_name	String	The desired name for a newly created Terra table that will contain the basecalled FASTQ files. This value should be the name as you want the table to appear as in the sidebar on the lefthand side of the Terra Data tab.		Required	Dorado_Basecalling	
dorado_basecalling	output_file_prefix	String	Prefix for naming output FASTQ files		Required	Dorado_Basecalling	
dorado_basecalling	pod5_bucket_path	String	GCS path of the bucket containing POD5 files.		Required	Dorado_Basecalling	
dorado_basecalling	terra_project	String	The name of your Terra project. You can find this information in the URL of the webpage of your Terra dashboard. For example, if your URL contains #workspaces/example/my_workspace/ then your project name is example		Required	Dorado_Basecalling	
dorado_basecalling	terra_workspace	String	The name of your Terra workspace where your samples can be found. For example, if your URL contains #workspaces/example/my_workspace/ then your workspace name is my_workspace		Required	Dorado_Basecalling	
fetch_sra_to_fastq	sra_accession	String	SRA, ENA, or DRA accession number		Required	SRA_Fetch	
fetch_srr_metadata	sample_accession	String	SRA-compatible accession, such as a BioSample ID (e.g., "SAMN00000000") or SRA Experiment ID (e.g., "SRX000000"), used to retrieve SRR metadata.		Required	Fetch_SRR_Accession	
freyja_dashboard	collection_date	Array[String]	An array containing the collection dates for the sample (YYYY-MM-DD format)		Required	Freyja_Dashboard	
freyja_dashboard	freyja_dashboard_title	String	The name of the dashboard to be produced. Example: "my-freyja-dashboard"		Required	Freyja_Dashboard	
freyja_dashboard	freyja_demixed	Array[File]	An array containing the output files (freyja_demixed) made by Freyja_FASTQ workflow		Required	Freyja_Dashboard	
freyja_dashboard	samplename	Array[String]	The names of the samples being analyzed		Required	Freyja_Dashboard	
freyja_dashboard	viral_load	Array[String]	An array containing the number of viral copies per liter		Required	Freyja_Dashboard	
freyja_fastq	read1	File	FASTQ file containing read1 sequences (Illumina or (ONT)		Required	 Freyja_FASTQ (ONT), Freyja_FASTQ (PE), Freyja_FASTQ (SE)	
freyja_fastq	reference_genome	File	The reference genome to use; should match the reference used for alignment (Wuhan-Hu-1)		Required	Freyja_FASTQ (ONT), Freyja_FASTQ (PE), Freyja_FASTQ (SE)	
freyja_fastq	samplename	String	The name of the sample being analyzed		Required	Freyja_FASTQ (ONT), Freyja_FASTQ (PE), Freyja_FASTQ (SE)	
freyja_plot	freyja_demixed	Array[File]	An array containing the output files (freyja_demixed) made by Freyja_FASTQ		Required	Freyja_Plot	
freyja_plot	freyja_plot_name	String	The name of the plot to be produced. Example: "my-freyja-plot"		Required	Freyja_Plot	
freyja_plot	samplename	Array[String]	The names of the samples being analyzed		Required	Freyja_Plot	
freyja_update	gcp_uri	String	The path where you want the Freyja reference files to be stored. Include gs:// at the beginning of the string. Full example with a Terra workspace bucket: "gs://fc-87ddd67a-c674-45a8-9651-f91e3d2f6bb7"		Required	Freyja_Update	
gambit_query	assembly_fasta	File	The assembly file for your sample in FASTA format		Required	Gambit_Query	
gambit_query	samplename	String	The name of the sample being analyzed		Required	Gambit_Query	
ksnp3_workflow	assembly_fasta	Array[File]	The assembly files for your samples in FASTA format		Required	kSNP3	
ksnp3_workflow	cluster_name	String	Free text string used to label output files		Required	kSNP3	
ksnp3_workflow	samplename	Array[String]	The names of the samples being analyzed		Required	kSNP3	
ksnp4_workflow	assembly_fasta	Array[File]	The assembly files for your samples in FASTA format		Required	kSNP4	
ksnp4_workflow	cluster_name	String	Free text string used to label output files		Required	kSNP4	
ksnp4_workflow	samplename	Array[String]	The names of the samples being analyzed		Required	kSNP4	
lyveset_workflow	dataset_name	String	Free text string used to label output files		Required	Lyve_SET	
lyveset_workflow	read1	Array[File]	FASTQ files containing read1 sequences; we recommend using cleaned reads instead of raw reads		Required	Lyve_SET	
lyveset_workflow	read2	Array[File]	FASTQ files containing read2 sequences; we recommend using cleaned reads instead of raw reads		Required	Lyve_SET	
lyveset_workflow	reference_genome	File	Path to reference genome in a Terra-accessible Google bucket. For considerations when choosing a reference genome, see: <https://github.com/lskatz/lyve-SET/blob/master/docs/FAQ.md>		Required	Lyve_SET	
mashtree_fasta	assembly_fasta	Array[File]	The assembly files for your samples in FASTA format		Required	MashTree_FASTA	
mashtree_fasta	cluster_name	String	Free text string used to label output files		Required	MashTree_FASTA	
mercury_prep_n_batch	gcp_bucket_uri	String	Google bucket where your SRA reads will be temporarily stored before transferring to SRA. Example: "gs://theiagen_sra_transfer"		Required	Mercury_Prep_N_Batch	
mercury_prep_n_batch	sample_names	Array[String]	The samples you want to submit		Required	Mercury_Prep_N_Batch	
mercury_prep_n_batch	terra_project_name	String	The name of your Terra project. You can find this information in the URL of the webpage of your Terra dashboard. For example, if your URL contains #workspaces/example/my_workspace/ then your project name is example		Required	Mercury_Prep_N_Batch	
mercury_prep_n_batch	terra_table_name	String	The name of the Terra table where your samples can be found. Do not include the entity: prefix, the _id suffix, or the _set_id suffix, just the name of the sample-level data table as listed in the sidebar on lefthand side of the Terra Data tab.		Required	Mercury_Prep_N_Batch	
mercury_prep_n_batch	terra_workspace_name	String	The name of your Terra workspace where your samples can be found. For example, if your URL contains #workspaces/example/my_workspace/ then your project name is my_workspace		Required	Mercury_Prep_N_Batch	
nextclade_batch	assembly_fastas	Array[File]	The assembly files for your samples in FASTA format		Required	Nextclade_Batch	
nextclade_batch	dataset_name	String	What nextclade dataset name to run nextclade on; some options are: "sars-cov-2", "flu_h1n1pdm_ha", "flu_h1n1pdm_na", "flu_h3n2_ha", "flu_h3n2_na", "flu_vic_ha", "flu_vic_na", "flu_yam_ha", "hMPXV", "hMPXV_B1", "MPXV", "rsv_a" and "rsv_b"		Required	Nextclade_Batch	
pangolin_update	assembly_fasta	File	The assembly file for your sample in FASTA format		Required	Pangolin_Update	
pangolin_update	old_lineage	String	The Pangolin lineage previously assigned to the sample		Required	Pangolin_Update	
pangolin_update	old_pangolin_assignment_version	String	Version of the Pangolin software previously used for lineage assignment.		Required	Pangolin_Update	
pangolin_update	old_pangolin_docker	String	The Pangolin docker image previously used for lineage assignment.		Required	Pangolin_Update	
pangolin_update	old_pangolin_versions	String	All pangolin software and database versions previously used for lineage assignment.		Required	Pangolin_Update	
pangolin_update	samplename	String	The name of the sample being analyzed		Required	Pangolin_Update	
rasusa_workflow	coverage	Float	Use to specify the desired coverage of reads after downsampling; actual coverage of subsampled reads will not be exact and may be slightly higher; always check the estimated clean coverage after performing downstream workflows to verify coverage values, when necessary		Required	RASUSA	
rasusa_workflow	genome_length	String	Input the approximate genome size expected in quotations; this is used to determine the number of bases required to achieve the desired coverage; acceptable metric suffixes include: b, k, m, g, and t for base, kilo, mega, giga, and tera, respectively		Required	RASUSA	
rasusa_workflow	read1	File	FASTQ file containing read1 sequences		Required	RASUSA	
rasusa_workflow	read2	File	FASTQ file containing read2 sequences		Required	RASUSA	
rasusa_workflow	samplename	String	The name of the sample being analyzed		Required	RASUSA	
reference_fetch	samplename	String	The name of the sample being analyzed		Required	Assembly_Fetch	
rename_fastq_files	new_filename	String	New name for the FASTQ file(s)		Required	Rename_FASTQ	
rename_fastq_files	read1	File	FASTQ file containing read1 sequences		Required	Rename_FASTQ	
shared_variants_wf	concatenated_file_name	String	String of your choice to prefix output files		Required	Find_Shared_Variants	
shared_variants_wf	samplenames	Array[String]	The names of the samples being analyzed		Required	Find_Shared_Variants	
shared_variants_wf	variants_to_cat	Array[File]	The result file from the Snippy_Variants workflow		Required	Find_Shared_Variants	
snippy_streamline	read1	Array[File]	FASTQ files containing read1 sequences		Required	Snippy_Streamline	
snippy_streamline	read2	Array[File]	FASTQ files containing read2 sequences		Required	Snippy_Streamline	
snippy_streamline	samplenames	Array[String]	The names of the samples being analyzed		Required	Snippy_Streamline	
snippy_streamline	tree_name	String	String of your choice to prefix output files		Required	Snippy_Streamline	
snippy_streamline_fasta	assembly_fasta	Array[File]	The assembly files for your samples in FASTA format		Required	Snippy_Streamline_FASTA	
snippy_streamline_fasta	samplenames	Array[String]	The names of the samples being analyzed		Required	Snippy_Streamline_FASTA	
snippy_streamline_fasta	tree_name	String	String of your choice to prefix output files		Required	Snippy_Streamline_FASTA	
snippy_tree_wf	reference_genome_file	File	Reference genome in FASTA or GENBANK format (must be the same reference used in Snippy_Variants workflow)		Required	Snippy_Tree	
snippy_tree_wf	samplenames	Array[String]	The names of the samples being analyzed		Required	Snippy_Tree	
snippy_tree_wf	snippy_variants_outdir_tarball	Array[File]	Output from the Snippy_Variants workflow		Required	Snippy_Tree	
snippy_tree_wf	tree_name	String	String of your choice to prefix output files		Required	Snippy_Tree	
snippy_variants_wf	reference_genome_file	File	Reference genome (GenBank file or fasta)		Required	Snippy_Variants	
snippy_variants_wf	samplename	String	The name of the sample being analyzed		Required	Snippy_Variants	
tbprofiler_tngs	read1	File	Illumina forward read file in FASTQ file format (compression optional)		Required	TBProfiler_tNGS	
tbprofiler_tngs	read2	File	Illumina reverse read file in FASTQ file format (compression optional)		Required	TBProfiler_tNGS	
tbprofiler_tngs	samplename	String	The name of the sample being analyzed		Required	TBProfiler_tNGS	
Terra_2_GISAID	client_id	String	This value should be filled with the client-ID provided by GISAID		Required	Terra_2_GISAID	
Terra_2_GISAID	concatenated_fastas	File	The GISAID FASTA file generated by Mercury_Prep_N_Batch (or Mercury_Prep)		Required	Terra_2_GISAID	
Terra_2_GISAID	concatenated_metadata	File	The GISAID metadata file generated by Mercury_Prep_N_Batch (or Mercury_Prep)		Required	Terra_2_GISAID	
Terra_2_NCBI	bioproject	String	BioProject accession that the samples will be submitted to		Required	Terra_2_NCBI	
Terra_2_NCBI	biosample_package	String	The BioSample package that the samples will be submitted under		Required	Terra_2_NCBI	
Terra_2_NCBI	ncbi_config_js	File	Configuration file that contains your username and password for the NCBI FTP		Required	Terra_2_NCBI	
Terra_2_NCBI	project_name	String	The name of your Terra project. You can find this information in the url of the webpage you are on. It is the section right after "#workspaces/"		Required	Terra_2_NCBI	
Terra_2_NCBI	sample_names	Array[String]	The list of samples you want to submit		Required	Terra_2_NCBI	
Terra_2_NCBI	sra_transfer_gcp_bucket	String	Google bucket where your SRA reads will be temporarily stored before transferring to SRA		Required	Terra_2_NCBI	
Terra_2_NCBI	table_name	String	The name of the Terra table where your samples are found		Required	Terra_2_NCBI	
Terra_2_NCBI	workspace_name	String	The name of the workspace where your samples are found		Required	Terra_2_NCBI	
theiacov_clearlabs	primer_bed	File	The bed file containing the primers used when sequencing was performed		Required	TheiaCoV_ClearLabs	sars-cov-2
theiacov_clearlabs	read1	File	Clear Dx-produced read file in FASTQ file format (compression optional)		Required	TheiaCoV_ClearLabs	sars-cov-2
theiacov_fasta	assembly_fasta	File	Input assembly FASTA file. Must contain either all 8 influenza genome segments or a single segment provided in multi-FASTA format.		Required	TheiaCoV_FASTA	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
theiacov_fasta	input_assembly_method	String	Method used to generate the assembly file		Required	TheiaCoV_FASTA	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
theiacov_fasta_batch	assembly_fastas	Array[File]	The assembly files for your samples in FASTA format		Required	TheiaCoV_FASTA_Batch	
theiacov_fasta_batch	bucket_name	String	The GCP bucket for the workspace where the TheiaCoV_FASTA_Batch output files are saved. We recommend using a unique GSURI for the bucket associated with your Terra workspace. The root GSURI is accessible in the Dashboard page of your workspace in the "Cloud Information" section.Do not include the prefix gs:// in the stringExample: ""fc-c526190d-4332-409b-8086-be7e1af9a0b6/theiacov_fasta_batch-2024-04-15-seq-run-1/		Required	TheiaCoV_FASTA_Batch	
theiacov_fasta_batch	project_name	String	The name of the Terra project where the data can be found. Example: "my-terra-project"		Required	TheiaCoV_FASTA_Batch	
theiacov_fasta_batch	samplenames	Array[String]	The names of the samples being analyzed		Required	TheiaCoV_FASTA_Batch	
theiacov_fasta_batch	table_name	String	The name of the Terra table where the data can be found. Example: "sars-cov-2-sample"		Required	TheiaCoV_FASTA_Batch	
theiacov_fasta_batch	workspace_name	String	The name of the Terra workspace where the data can be found. Example "my-terra-workspace"		Required	TheiaCoV_FASTA_Batch	
theiacov_illumina_pe	read1	File	Illumina forward read file in FASTQ file format (compression optional)		Required	TheiaCoV_Illumina_PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2, measles
theiacov_illumina_pe	read2	File	Illumina reverse read file in FASTQ file format (compression optional)		Required	TheiaCoV_Illumina_PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2, measles
theiacov_illumina_se	read1	File	Illumina forward read file in FASTQ file format (compression optional)		Required	TheiaCoV_Illumina_SE	MPXV, WNV, sars-cov-2
theiacov_ont	read1	File	ONT read file in FASTQ file format (compression optional)		Required	TheiaCoV_ONT	HIV, MPXV, WNV, flu, sars-cov-2
theiaeuk_pe	read1	File	Illumina forward read file in FASTQ file format (compression optional)		Required	TheiaEuk_Illumina_PE	
theiaeuk_pe	read2	File	Illumina reverse read file in FASTQ file format (compression optional)		Required	TheiaEuk_Illumina_PE	
theiaeuk_pe	samplename	String	The name of the sample being analyzed		Required	TheiaEuk_Illumina_PE	
theiaeuk_ont	read1	File	ONT read file in FASTQ file format (compression optional)		Required	TheiaEuk_ONT	
theiaeuk_ont	samplename	String	The name of the sample being analyzed		Required	TheiaEuk_ONT	
theiameta_illumina_pe	read1	File	Illumina forward read file in FASTQ file format (compression optional)		Required	TheiaMeta_Illumina_PE	
theiameta_illumina_pe	read2	File	Illumina reverse read file in FASTQ file format (compression optional)		Required	TheiaMeta_Illumina_PE	
theiameta_illumina_pe	samplename	String	The name of the sample being analyzed		Required	TheiaMeta_Illumina_PE	
theiaprok_fasta	assembly_fasta	File	The assembly file for your sample in FASTA format		Required	TheiaProk_FASTA	
theiaprok_illumina_pe	read1	File	Illumina forward read file in FASTQ file format (compression optional)		Required	TheiaProk_Illumina_PE	
theiaprok_illumina_pe	read2	File	Illumina reverse read file in FASTQ file format (compression optional)		Required	TheiaProk_Illumina_PE	
theiaprok_illumina_se	read1	File	Illumina forward read file in FASTQ file format (compression optional)		Required	TheiaProk_Illumina_SE	
theiaprok_illumina_pe	amrfinder_use_gff	Boolean	Whether or not to use the GFF and protein FASTA files for AMRFinderPlus	FALSE	Optional	TheiaProk_Illumina_PE
theiaprok_fasta	amrfinder_use_gff	Boolean	Whether or not to use the GFF and protein FASTA files for AMRFinderPlus	FALSE	Optional	TheiaProk_FASTA
theiaprok_illumina_se	amrfinder_use_gff	Boolean	Whether or not to use the GFF and protein FASTA files for AMRFinderPlus	FALSE	Optional	TheiaProk_Illumina_SE
theiaprok_ont	amrfinder_use_gff	Boolean	Whether or not to use the GFF and protein FASTA files for AMRFinderPlus	FALSE	Optional	TheiaProk_ONT
theiaprok_ont	read1	File	ONT read file in FASTQ file format (compression optional)		Required	TheiaProk_ONT	
theiavalidate	columns_to_compare	String	A comma-separated list of the columns the user wants to compare. Do not include whitespace.		Required	TheiaValidate	
theiavalidate	output_prefix	String	The prefix for the output files		Required	TheiaValidate	
theiavalidate	table1_name	String	The name of the first table		Required	TheiaValidate	
theiavalidate	table2_name	String	The name of the second table		Required	TheiaValidate	
theiavalidate	terra_project1_name	String	The name of the Terra project where table1_name can be found		Required	TheiaValidate	
theiavalidate	terra_workspace1_name	String	The name of the Terra workspace where table1_name can be found		Required	TheiaValidate	
transfer_column_content	files_to_transfer	Array[File]	The column that has the files you want to transfer.		Required	Transfer_Column_Content	
transfer_column_content	target_bucket	String	The GS URI[^1] of the target storage bucket. Note: Do not include spaces, but do include the gs:// at the beginning of the bucket URI		Required	Transfer_Column_Content	
usher_workflow	assembly_fasta	Array[File]	The assembly files for your samples in FASTA format; can either be a set of samples, an individual sample, or multiple individual samples		Required	Usher	
usher_workflow	organism	String	What organism to run UShER on; the following organism have default global phylogenies and reference files provided: sars-cov-2, mpox, RSV-A, RSV-B.		Required	Usher	
usher_workflow	tree_name	String	The output prefix for the uncondensed tree output and the clades output.		Required	Usher	
vadr_update	assembly_length_unambiguous	Int	Number of unambiguous basecalls within the consensus assembly		Required	VADR_Update	
vadr_update	docker	String	The Docker container to use for the task		Required	VADR_Update	
vadr_update	genome_fasta	File	Consensus genome assembly		Required	VADR_Update	
kraken2_ont_wf	kraken2_db	File	A Kraken2 database in .tar.gz format		Required	Kraken_ONT	
kraken2_pe_wf	kraken2_db	File	A Kraken2 database in .tar.gz format		Required	Kraken_PE	
kraken2_se_wf	kraken2_db	File	A Kraken2 database in .tar.gz format		Required	Kraken_SE	
kraken2_ont_wf	read1	File	Forward read in FASTQ file format (compression optional)		Required	Kraken_ONT	
kraken2_pe_wf	read1	File	Forward read in FASTQ file format (compression optional)		Required	Kraken_PE	
kraken2_se_wf	read1	File	Forward read in FASTQ file format (compression optional)		Required	Kraken_SE	
kraken2_pe_wf	read2	File	Illumina reverse read file in FASTQ file format (compression optional)		Required	Kraken_PE	
theiacov_clearlabs	samplename	String	The name of the sample being analyzed		Required	TheiaCoV_ClearLabs	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2, measles
theiacov_fasta	samplename	String	The name of the sample being analyzed		Required	TheiaCoV_FASTA	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2, measles
theiacov_ont	samplename	String	The name of the sample being analyzed		Required	TheiaCoV_ONT	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2, measles
theiacov_illumina_pe	samplename	String	The name of the sample being analyzed		Required	TheiaCoV_Illumina_PE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2, measles
theiacov_illumina_se	samplename	String	The name of the sample being analyzed		Required	TheiaCoV_Illumina_SE	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2, measles
theiaprok_fasta	samplename	String	The name of the sample being analyzed		Required	TheiaProk_FASTA	
theiaprok_ont	samplename	String	The name of the sample being analyzed		Required	TheiaProk_ONT	
theiaprok_illumina_pe	samplename	String	The name of the sample being analyzed		Required	TheiaProk_Illumina_PE	
theiaprok_illumina_se	samplename	String	The name of the sample being analyzed		Required	TheiaProk_Illumina_SE	
kraken2_ont_wf	samplename	String	The name of the sample being analyzed		Required	Kraken_ONT	
kraken2_pe_wf	samplename	String	The name of the sample being analyzed		Required	Kraken_PE	
kraken2_se_wf	samplename	String	The name of the sample being analyzed		Required	Kraken_SE	
theiacov_fasta	seq_method	String	The sequencing methodology used to generate the input read data		Required	TheiaCoV_FASTA	HIV, MPXV, WNV, flu, rsv_a, rsv_b, sars-cov-2
zip_column_content	files_to_zip	Array[File]	The column that has the files you want to zip.		Required	Zip_Column_Content	
zip_column_content	zipped_file_name	String	The name you want your zipped file to have. The .zip file extension will be added to this name.		Required	Zip_Column_Content	
augur	clades_tsv	File	TSV file containing clade mutation positions in four columns	Defaults are organism-specific. Please find default values for all organisms (and for Flu - their respective genome segments and subtypes) here: <https://github.com/theiagen/public_health_bioinformatics/blob/main/workflows/utilities/wf_organism_parameters.wdl>. For an organism without set defaults, an empty clades file is provided to prevent workflow failure, "gs://theiagen-public-resources-rp/empty_files/minimal-clades.tsv", but will not be as useful as an organism specific clades file.	Optional, Required	Augur	
augur	flu_segment	String	Required if organism = "flu". The name of the segment to be analyzed; options: "HA" or "NA"	HA (only used if organism = "flu")	Optional, Required	Augur	
augur	flu_subtype	String	Required if organism = "flu". The subtype of the flu samples being analyzed; options: "H1N1", "H3N2", "Victoria", "Yamagata", "H5N1"		Optional, Required	Augur	
augur	reference_fasta	File	The reference FASTA file used to align the genomes and build the trees	Defaults are organism-specific. Please find default values for all organisms (and for Flu - their respective genome segments and subtypes) here: <https://github.com/theiagen/public_health_bioinformatics/blob/main/workflows/utilities/wf_organism_parameters.wdl>. For an organism without set defaults, a reference fasta file must be provided otherwise the workflow fails.	Optional, Required	Augur	
augur	reference_genbank	File	The GenBank .gb file for the same reference genome used for the reference_fasta	Defaults are organism-specific. Please find default values for all organisms (and for Flu - their respective genome segments and subtypes) here: <https://github.com/theiagen/public_health_bioinformatics/blob/main/workflows/utilities/wf_organism_parameters.wdl>. For an organism without set defaults, a reference genbank file must be provided otherwise the workflow fails.	Optional, Required	Augur	
czgenepi_prep	assembly_fasta_column_name	String	The column name where the sample's assembly file can be found	assembly_fasta	Optional, Required	CZGenEpi_Prep	
czgenepi_prep	collection_date_column_name	String	The column name where the sample's collection date can be found	collection_date	Optional, Required	CZGenEpi_Prep	
czgenepi_prep	continent_column_name	String	The column name where the sample's originating continent can be found	continent	Optional, Required	CZGenEpi_Prep	
czgenepi_prep	country_column_name	String	The column name where the sample's originating country can be found	country	Optional, Required	CZGenEpi_Prep	
czgenepi_prep	county_column_name	String	The column name where the samples' originating county can be found	county	Optional, Required	CZGenEpi_Prep	
czgenepi_prep	private_id_column_name	String	The column name where the Private ID for the sample can be found	terra_table_name_id	Optional, Required	CZGenEpi_Prep	
czgenepi_prep	state_column_name	String	The column name where the sample's originating state can be found	state	Optional, Required	CZGenEpi_Prep	
freyja_dashboard_task	config	File	(found in the optional section, but is required) A yaml file that applies various configurations to the dashboard, such as grouping lineages together, applying colorings, etc. See also <https://github.com/andersen-lab/Freyja/blob/main/freyja/data/plot_config.yml>.		Optional, Required	Freyja_Dashboard	
freyja_fastq	freyja_lineage_metadata	File	File containing the lineage metadata; the "curated_lineages.json" file found <https://github.com/andersen-lab/Freyja/tree/main/freyja/data> can be used for this variable. Does not need to be provided if update_db is true or if the freyja_pathogen is provided.		Optional, Required	Freyja_FASTQ(ONT), Freyja_FASTQ (PE), Freyja_FASTQ (SE)	
gisaid_upload	authentication_file	File	[EITHER] The GISAID authentication file generated by running cli3 authenticate for the submitter.		Optional, Required	Terra_2_GISAID	
gisaid_upload	gisaid_credentials	File	[EITHER] A tab-delimited file containing the submitter's GISAID username followed by their password, used to generate the GISAID authentication file.		Optional, Required	Terra_2_GISAID	
Terra_2_NCBI	submit_to_production	Boolean	Used to indicate whether or not the workflow should submit to NCBI's production environment. If set to true, then a Production submission will occur. Otherwise, by default (false), it will perform a Test submission.	FALSE	Optional, Required	Terra_2_NCBI	
usher	mutation_annotated_tree_pb	File	Required for organisms other than sars-cov-2, mpox, RSV-A or RSV-B. This is the mutation-annotated global phylogeny upon which your samples will be placed		Optional, Required	Usher	
usher	reference_genome	File	Required for organisms other than sars-cov-2, mpox, RSV-A or RSV-B. This is the reference genome used to determine your sequence's mutations to accurately place the sample on the phylogeny.		Optional, Required	Usher	
theiacov_fasta	flu_segment	String	Influenza genome segment being analyzed. Options: "HA" or "NA". Only required if input assembly is a singular flu segment.		Optional	TheiaCoV_FASTA	flu
abricate	cpu	Int	Number of CPUs to allocate to the task	2	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	
abricate	disk_size	Int	Amount of storage (in GB) to allocate to the task	100	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	
abricate	docker	String	The Docker container to use for the task	us-docker.pkg.dev/general-theiagen/staphb/abricate:1.0.1-abaum-plasmid	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	
abricate	memory	Int	Amount of memory/RAM (in GB) to allocate to the task	8	Optional	TheiaProk_FASTA, TheiaProk_ONT, TheiaProk_Illumina_PE, TheiaProk_Illumina_SE	
